year,crucero,survey,season,species,biomass_t,abundance_mil_ind
1999,Reclas 9912,RECLAS,verano,sardina_comun_cs,264231.0,177336.0
1999,Reclas 9912,RECLAS,verano,anchoveta_cs,370054.0,59686.0
2001,Reclas 0101,RECLAS,verano,sardina_comun_cs,567819.0,174879.0
2001,Reclas 0101,RECLAS,verano,anchoveta_cs,412103.0,76668.0
2002,Reclas 0201,RECLAS,verano,sardina_comun_cs,844713.0,153855.0
2002,Reclas 0201,RECLAS,verano,anchoveta_cs,1494267.0,96193.0
2003,Reclas 0301,RECLAS,verano,sardina_comun_cs,481605.0,42721.0
2003,Reclas 0301,RECLAS,verano,anchoveta_cs,250295.0,46445.0
2004,Reclas 0401,RECLAS,verano,sardina_comun_cs,360208.0,72125.0
2004,Reclas 0401,RECLAS,verano,anchoveta_cs,1289818.0,91596.0
2005,Reclas 0501,RECLAS,verano,sardina_comun_cs,633136.0,43082.0
2005,Reclas 0501,RECLAS,verano,anchoveta_cs,931140.0,100806.0
2006,Reclas 0601,RECLAS,verano,sardina_comun_cs,2178397.0,515982.0
2006,Reclas 0601,RECLAS,verano,anchoveta_cs,785840.0,100405.0
2007,Reclas 0701,RECLAS,verano,sardina_comun_cs,2134043.0,122878.0
2007,Reclas 0701,RECLAS,verano,anchoveta_cs,897777.0,76628.0
2008,Reclas 0801,RECLAS,verano,sardina_comun_cs,4813144.0,544253.0
2008,Reclas 0801,RECLAS,verano,anchoveta_cs,1040062.0,61942.0
2009,Reclas 0901,RECLAS,verano,sardina_comun_cs,1555625.0,319469.0
2009,Reclas 0901,RECLAS,verano,anchoveta_cs,184774.0,43355.0
2010,Reclas 1001,RECLAS,verano,sardina_comun_cs,2623566.0,972378.0
2010,Reclas 1001,RECLAS,verano,anchoveta_cs,17550.0,6905.0
2011,Reclas 1101,RECLAS,verano,sardina_comun_cs,3246647.0,1098388.0
2011,Reclas 1101,RECLAS,verano,anchoveta_cs,25797.0,2745.0
2012,Reclas 1201,RECLAS,verano,sardina_comun_cs,3843911.0,1777250.0
2012,Reclas 1201,RECLAS,verano,anchoveta_cs,100020.0,13176.0
2013,Reclas 1301,RECLAS,verano,sardina_comun_cs,1133477.0,87069.0
2013,Reclas 1301,RECLAS,verano,anchoveta_cs,73551.0,5414.0
2014,Reclas 1401,RECLAS,verano,sardina_comun_cs,3079434.0,768494.0
2014,Reclas 1401,RECLAS,verano,anchoveta_cs,116472.0,9512.0
2015,Reclas 1501,RECLAS,verano,sardina_comun_cs,1972148.0,516339.0
2015,Reclas 1501,RECLAS,verano,anchoveta_cs,120727.0,5851.0
2016,Reclas 1601,RECLAS,verano,sardina_comun_cs,2032684.0,211677.0
