year,biomass_total_t,biomass_juv_t,abundance_total_mil,abundance_juv_mil,area_mn2,zone
2011,203265.1,107018.0,20186.4,15149.3,1294.0,Caldera-Coquimbo
2012,251534.6,37483.3,15777.3,4019.7,1908.0,Caldera-Coquimbo
2013,262083.944824911,15629.0,10864.069670535,2271.6,1720.0,Caldera-Coquimbo
2014,103340.0,19313.0,5645.0,2079.3,1952.0,Caldera-Coquimbo
2015,71334.4,23423.4,5050.6,3092.1,860.9,Caldera-Coquimbo
2016,146767.0,105664.0,15106.0,12665.6,1029.0,Caldera-Coquimbo
2017,174857.0,65185.1,14514.1,8850.7,1264.0,Caldera-Coquimbo
2018,181023.0,87972.0,26112.0,22148.0,2972.0,Caldera-Coquimbo
2019,603177.7384054286,179682.41503698562,50786.86524351392,26695.676000602827,832.0,Caldera-Coquimbo
2020,322792.0,95044.0,26719.0,13696.0,1624.0,Caldera-Coquimbo
2021,216021.0,126126.0,27176.0,22466.0,1486.0,Caldera-Coquimbo
2022,275775.0,92421.0,21553.33225452187,13289.32699262489,1566.0,Caldera-Coquimbo
2023,320589.83062339306,93493.48440646089,35719.99533402985,20061.257038607666,1312.0,Caldera-Coquimbo
2024,41015.485033780315,40960.872894775915,9108.113182821986,9104.320712927429,1637.0,Caldera-Coquimbo
2011,162323.0,7515.96,7782.99,202.145,2811.0,Arica-Antofagasta
2012,299520.5,11109.7,13821.2,1393.9,3033.0,Arica-Antofagasta
2013,152003.2,6255.2,7018.0,1088.9,2841.0,Arica-Antofagasta
2014,420494.0,255586.0,50399.0,39976.0,976.0,Arica-Antofagasta
2015,284486.0,210376.0,64502.0,60066.0,1188.0,Arica-Antofagasta
2016,307129.7611257742,260821.92575260144,69837.84985038877,67034.67004187038,827.0,Arica-Antofagasta
2017,105841.65157508559,34566.09909188494,12465.512907463257,8353.421052631971,1592.0,Arica-Antofagasta
2018,793242.5135574681,596250.4087092165,171602.39023227917,159469.96704629564,2809.0,Arica-Antofagasta
2019,230206.0,185677.0,85706.0,82617.0,2280.0,Arica-Antofagasta
2020,241265.87056091288,132680.9770401754,62017.81972884465,55204.72933926193,1994.0,Arica-Antofagasta
2021,850106.0,545312.0,163104.0,143392.0,2500.0,Arica-Antofagasta
2022,304938.44195877376,48232.193703769095,25979.963505508425,8085.7251639551405,1410.0,Arica-Antofagasta
2023,236675.39416241006,207846.0781581966,42066.2716396525,39801.828726486245,1589.0,Arica-Antofagasta
2024,250148.91129351812,73328.92605018301,50581.42964596602,39382.054296261034,1835.0,Arica-Antofagasta
