stock_id,year,sector,catch_t
anchoveta_cs,2000,Artesanal,112005
anchoveta_cs,2000,Industrial,335404
anchoveta_cs,2001,Artesanal,128412
anchoveta_cs,2001,Industrial,32052
anchoveta_cs,2002,Artesanal,207422
anchoveta_cs,2002,Industrial,60638
anchoveta_cs,2003,Artesanal,222676
anchoveta_cs,2003,Industrial,86362
anchoveta_cs,2004,Artesanal,228463
anchoveta_cs,2004,Industrial,131864
anchoveta_cs,2005,Artesanal,283938
anchoveta_cs,2005,Industrial,162901
anchoveta_cs,2006,Artesanal,226690
anchoveta_cs,2006,Industrial,168525
anchoveta_cs,2007,Artesanal,386052
anchoveta_cs,2007,Industrial,180235
anchoveta_cs,2008,Artesanal,206770
anchoveta_cs,2008,Industrial,182389
anchoveta_cs,2009,Artesanal,266319
anchoveta_cs,2009,Industrial,171328
anchoveta_cs,2010,Artesanal,132436
anchoveta_cs,2010,Industrial,89321
anchoveta_cs,2011,Artesanal,89638
anchoveta_cs,2011,Industrial,13336
anchoveta_cs,2012,Artesanal,61226
anchoveta_cs,2012,Industrial,13302
anchoveta_cs,2013,Artesanal,37399
anchoveta_cs,2013,Industrial,5770
anchoveta_cs,2014,Artesanal,52565
anchoveta_cs,2014,Industrial,4568
anchoveta_cs,2015,Artesanal,59909
anchoveta_cs,2015,Industrial,4081
anchoveta_cs,2016,Artesanal,68473
anchoveta_cs,2016,Industrial,5290
anchoveta_cs,2017,Artesanal,53870
anchoveta_cs,2017,Industrial,3272
anchoveta_cs,2018,Artesanal,60753
anchoveta_cs,2018,Industrial,1396
anchoveta_cs,2019,Artesanal,157443
anchoveta_cs,2019,Industrial,663
anchoveta_cs,2020,Artesanal,167310
anchoveta_cs,2020,Industrial,1794
anchoveta_cs,2021,Artesanal,175200
anchoveta_cs,2022,Artesanal,217873
anchoveta_cs,2022,Industrial,935
anchoveta_cs,2023,Artesanal,194533
anchoveta_cs,2023,Industrial,1568
jurel_chile,2000,Artesanal,15977
jurel_chile,2000,Industrial,1218322
jurel_chile,2001,Artesanal,30328
jurel_chile,2001,Industrial,1619605
jurel_chile,2002,Artesanal,38732
jurel_chile,2002,Industrial,1480261
jurel_chile,2003,Artesanal,38510
jurel_chile,2003,Industrial,1382787
