year,stock_id,mp_total_t
2012,anchoveta_cs,72514.0
2012,jurel,225417.0
2012,sardina_comun_cs,848316.0
2013,anchoveta_cs,42173.708
2013,jurel,226356.731
2013,sardina_comun_cs,233663.751
2014,anchoveta_cs,59117.665632000004
2014,jurel,269122.401
2014,sardina_comun_cs,540300.430232
2015,anchoveta_cs,62731.311
2015,jurel,283161.896826
2015,sardina_comun_cs,433614.59796399996
2016,anchoveta_cs,73321.0
2016,jurel,315634.0
2016,sardina_comun_cs,278682.0
2017,anchoveta_cs,56043.0
2017,jurel,341811.014
2017,sardina_comun_cs,343317.0
2018,anchoveta_cs,61440.754
2018,jurel,422957.14682100003
2018,sardina_comun_cs,344509.922054
2019,anchoveta_cs,156671.32
2019,jurel,443283.38800000004
2019,sardina_comun_cs,319463.749
2020,anchoveta_cs,167312.046
2020,jurel,554062.906
2020,sardina_comun_cs,261964.519
2021,anchoveta_cs,174741.519
2021,jurel,624902.758
2021,sardina_comun_cs,343482.98299999995
2022,anchoveta_cs,217639.465
2022,jurel,717234.707
2022,sardina_comun_cs,222545.005
2023,anchoveta_cs,195433.569
2023,jurel,850653.611
2023,sardina_comun_cs,410030.004
2024,anchoveta_cs,120714.005
2024,jurel,1078502.196
2024,sardina_comun_cs,129095.478
