year,tipo_veda,zona,ciclo,sem_inicio,sem_fin,n_reportes_unicos,dias_estim
2019,reclutamiento,VXIV,1,47,51,5,35
2019,reproductiva,VXIV,1,26,30,4,35
2019,reproductiva,VXIV,2,39,42,4,28
2020,reclutamiento,VXIV,1,5,16,11,84
2020,reclutamiento,VXIV,2,47,52,6,42
2020,reproductiva,VXIV,1,26,30,5,35
2020,reproductiva,VXIV,2,39,42,4,28
2021,reclutamiento,VXIV,1,5,16,12,84
2021,reclutamiento,VXIV,2,48,52,5,35
2021,reproductiva,VXIV,1,26,30,5,35
2021,reproductiva,VXIV,2,39,43,5,35
2022,reclutamiento,VXIV,1,4,16,13,91
2022,reclutamiento,VXIV,2,47,51,5,35
2022,reproductiva,VXIV,1,25,27,3,21
2022,reproductiva,VXIV,2,39,42,4,28
2023,reclutamiento,VXIV,1,4,16,13,91
2023,reclutamiento,VXIV,2,47,51,5,35
2023,reproductiva,VXIV,1,26,29,4,28
2023,reproductiva,VXIV,2,38,42,5,35
2024,reclutamiento,VXIV,1,5,16,11,84
2024,reclutamiento,VXIV,2,44,52,9,63
2024,reproductiva,VXIV,1,28,29,2,14
2024,reproductiva,VXIV,2,39,43,5,35
