model,scenario,window,var,delta,baseline_mean,future_mean,n_years_baseline,n_years_future,splice_exp
CESM2,ssp245,end,enso,2.500783922726,27.845141863029,30.345925785755,24,20,ssp585
CNRM-ESM2-1,ssp245,end,enso,1.7042054464691,26.5018827804302,28.2060882268993,25,20,ssp245
GFDL-ESM4,ssp245,end,enso,1.2340788106419,26.7766369223907,28.0107157330326,25,20,ssp245
IPSL-CM6A-LR,ssp245,end,enso,2.20969802170238,26.2494888959205,28.4591869176229,25,20,ssp245
MPI-ESM1-2-HR,ssp245,end,enso,1.1832557872566,26.9379032663683,28.1211590536249,25,20,ssp245
UKESM1-0-LL,ssp245,end,enso,2.66958396741714,26.4447882563273,29.1143722237445,25,20,ssp245
CESM2,ssp245,mid,enso,1.14023077428844,27.845141863029,28.9853726373174,24,20,ssp585
CNRM-ESM2-1,ssp245,mid,enso,0.88243578050438,26.5018827804302,27.3843185609346,25,20,ssp245
GFDL-ESM4,ssp245,mid,enso,0.76532727170536,26.7766369223907,27.5419641940961,25,20,ssp245
IPSL-CM6A-LR,ssp245,mid,enso,0.968372765579446,26.2494888959205,27.2178616615,25,20,ssp245
MPI-ESM1-2-HR,ssp245,mid,enso,0.475935287192062,26.9379032663683,27.4138385535604,25,20,ssp245
UKESM1-0-LL,ssp245,mid,enso,1.35303158700877,26.4447882563273,27.7978198433361,25,20,ssp245
CESM2,ssp585,end,enso,4.31683054397072,27.845141863029,32.1619724069997,24,20,ssp585
CNRM-ESM2-1,ssp585,end,enso,3.51385485986293,26.5018827804302,30.0157376402932,25,20,ssp245
GFDL-ESM4,ssp585,end,enso,2.8419802730985,26.7766369223907,29.6186171954892,25,20,ssp245
IPSL-CM6A-LR,ssp585,end,enso,4.12895378097995,26.2494888959205,30.3784426769005,25,20,ssp245
MPI-ESM1-2-HR,ssp585,end,enso,2.42163068858138,26.9379032663683,29.3595339549497,25,20,ssp245
UKESM1-0-LL,ssp585,end,enso,4.676285960614,26.4447882563273,31.1210742169413,25,20,ssp245
CESM2,ssp585,mid,enso,1.5842395055356,27.845141863029,29.4293813685646,24,20,ssp585
CNRM-ESM2-1,ssp585,mid,enso,1.09581435254634,26.5018827804302,27.5976971329766,25,20,ssp245
GFDL-ESM4,ssp585,mid,enso,0.977302251848148,26.7766369223907,27.7539391742388,25,20,ssp245
IPSL-CM6A-LR,ssp585,mid,enso,1.44988009234681,26.2494888959205,27.6993689882673,25,20,ssp245
MPI-ESM1-2-HR,ssp585,mid,enso,0.822405530674679,26.9379032663683,27.760308797043,25,20,ssp245
UKESM1-0-LL,ssp585,mid,enso,1.84020020781441,26.4447882563273,28.2849884641417,25,20,ssp245
