variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,lag
r_nat[1],0.59139552524625,0.58691596,0.07777123005113616,0.076847257389,0.47145503850000003,0.7254159435,1.0001737226844134,13007.55996785219,11735.693943411557,1
r_nat[2],0.850633067435,0.84580984,0.10598758904745029,0.10431401618399996,0.6863516075,1.03148847,1.000373708730443,9206.720284296067,11014.118889361687,1
r_nat[3],0.381681785240625,0.370173825,0.09641717487791421,0.09252254997300004,0.244635939,0.5564321545,1.0004757395840884,16399.18913951538,12411.256679301578,1
K_nat[1],2232.37006136875,2209.19425,300.2665127559604,294.68847009000007,1790.079915,2768.9567399999996,1.000436599546485,19712.77607510917,12704.113484220854,1
K_nat[2],2972.847651775,2956.20965,191.50225302889743,182.13103482000045,2686.49811,3305.789125,1.0008284006687156,7784.444827534255,9787.749278669904,1
K_nat[3],7387.65475701875,7165.06285,1768.6371625928555,1687.6032532799995,4894.54065,10634.1355,1.000894305595457,10423.96527750534,11464.073567966489,1
B0_nat[1],387.049451290625,385.491565,36.98165556056102,36.858481233000035,329.008104,450.4643475,1.000214571042396,21469.704993794443,12548.990982394062,1
B0_nat[2],509.29582852875,506.76073,46.64699512757328,46.65477555900002,436.9345335,589.4527939999999,1.0001287074939995,16054.518339773784,12151.875521355185,1
B0_nat[3],5955.621842075,5894.482,889.798575781587,876.95189547,4609.90237,7512.0598150000005,1.00073760065991,25034.247233689923,11499.023796009898,1
sigma_proc[1],0.2648933521775,0.26237937499999997,0.04597235855941999,0.04455903150300006,0.193938995,0.3440604595,1.0008001455199667,6216.21153467982,8794.516720949323,1
sigma_proc[2],0.1866409193531875,0.185037755,0.04392237931735321,0.043602954654000006,0.1170338015,0.2610857655,1.002903424342255,2608.0369110770866,4015.505704912307,1
sigma_proc[3],1.2421582661625,1.21946,0.2195338118776169,0.21083061257999988,0.9256306915,1.639590885,1.0015606467330256,5639.520574187803,9945.462568875619,1
sigma_obs[1],0.12355749004119375,0.122694265,0.03788106353936294,0.0369988967964,0.0617491318,0.1867277165,1.0014372686401132,2044.6456601410825,1858.5909581879828,1
sigma_obs[2],0.13356348355454375,0.13464852500000002,0.044480445728920265,0.044126549669999994,0.0588374015,0.20454831099999993,1.007219332809872,1055.88120924384,550.4656060294514,1
sigma_obs[3],0.31643710772,0.31662325,0.09638742574167437,0.09577911052499997,0.1583226525,0.4758084915,1.0014470417378534,3037.9430273597955,2890.1231093184933,1
rho_sst[1],-0.7508875023673092,-0.7358358949999999,0.5414289721027189,0.5319563462639999,-1.665985865,0.10792804649999999,1.0002905049203032,11496.121500796731,11422.089255269577,1
rho_sst[2],-2.64062887219,-2.648644,0.5037529160212189,0.50378555262,-3.448244135,-1.79737205,1.0008271663217574,9123.435784764732,10988.069287371965,1
rho_sst[3],-3.1364479527656244e-5,-7.813355550000001e-5,0.009939286848428068,0.0099899968974057,-0.0164011892,0.01627167755,1.0009199976078,23945.729167741796,10926.770771649859,1
rho_chl[1],-3.0336598497964937,-3.0352461,0.8925934122759951,0.8980598940600002,-4.476358735000001,-1.5616803600000004,1.0000558085870677,17710.18479239722,12940.434566966012,1
rho_chl[2],2.0876867310368064,2.0889284000000004,0.7666037964921542,0.7568185224600006,0.8028407135,3.345516759999999,1.000465871785711,13288.67299103614,11951.875621971303,1
rho_chl[3],-6.376990728232625e-5,-6.1192005e-5,0.010058828597294922,0.01007239877574,-0.016418026999999998,0.016311619149999984,1.0004985218347542,24358.355645064985,10932.400762039255,1
rho_enso[1],5.206236634197312e-5,7.030410150000001e-5,0.009826364808516957,0.00995858824695,-0.01627470985,0.016113007799999995,1.0007403278335005,25282.76331904482,12066.983916494893,1
rho_enso[2],-8.24828835402845e-4,-8.90035235e-4,0.009955909890267697,0.009969600725468998,-0.01707175585,0.01558712429999999,1.00067084974151,25216.780008692727,12255.758727472914,1
rho_enso[3],-0.018796631439264938,-0.0217032505,0.48970768128330167,0.4892433659967,-0.808137276,0.8012622859999999,1.000412204848158,19029.2974669865,12266.413257230373,1
"Omega[1,1]",1,1,0,0,1,1,NA,NA,NA,1
"Omega[2,1]",0.07646856101845878,0.0803030875,0.2114992253752608,0.21472500544319997,-0.279529682,0.42171323149999995,1.0000139202279967,9600.812794897027,10889.150421091927,1
"Omega[3,1]",0.21849025870087183,0.22444035,0.17737455659237364,0.18058550586299998,-0.0837216744,0.4968253499999999,1.0003858535748884,10775.00624372432,11808.92579764157,1
"Omega[1,2]",0.07646856101845878,0.0803030875,0.2114992253752608,0.21472500544319997,-0.279529682,0.42171323149999995,1.0000139202279967,9600.812794897027,10889.150421091927,1
"Omega[2,2]",1,1,0,0,1,1,NA,NA,NA,1
"Omega[3,2]",-0.1825225499328566,-0.186500315,0.2228766010773218,0.2282609262423,-0.542197572,0.19367734899999994,1.0005605058363474,5985.393429481723,9114.377594667158,1
"Omega[1,3]",0.21849025870087183,0.22444035,0.17737455659237364,0.18058550586299998,-0.0837216744,0.4968253499999999,1.0003858535748884,10775.00624372432,11808.92579764157,1
"Omega[2,3]",-0.1825225499328566,-0.186500315,0.2228766010773218,0.2282609262423,-0.542197572,0.19367734899999994,1.0005605058363474,5985.393429481723,9114.377594667158,1
"Omega[3,3]",1,1,0,0,1,1,NA,NA,NA,1
