variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
r_nat[1],0.567807632324375,0.5642503,0.06911675193850894,0.06686747648699991,0.459748484,0.6874628214999999,1.000307103231763,14099.064181155927,11368.370273530818
r_nat[2],0.74938782008625,0.7446962100000001,0.09606307062548837,0.09331064824199997,0.6004964965,0.9142401845,1.0006689139294354,8445.675291756193,10508.008071079672
r_nat[3],0.3874173172175,0.37636718,0.09850901348455471,0.09335431822500004,0.247484008,0.5653711669999999,1.0000612253471486,14876.50629325342,11813.576661087123
K_nat[1],2203.86280700625,2174.0601500000002,292.49443335768666,283.12478313,1777.492355,2723.136005,1.000039213357865,19147.182894658,11871.042200699872
K_nat[2],3020.25336645625,3002.06185,205.56894552957255,195.26323845000002,2719.10406,3387.3365299999996,1.0002702561919377,9789.163364702845,9777.33725829726
K_nat[3],7254.06473285625,7044.3096000000005,1730.5875197653238,1635.8650352099999,4792.163474999999,10394.206349999999,1.0000781085301527,12351.283493376015,11617.654641655537
B0_nat[1],383.71097516875,382.05102999999997,35.74211205020449,35.79166899000001,328.00281399999994,445.1984825,1.000792237807241,18919.000969787005,11874.942847134462
B0_nat[2],503.654481869375,502.211555,45.075593739013584,44.32730853600003,432.33644799999996,580.7936834999999,1.0007312663275376,19268.143243832914,11843.981278855259
B0_nat[3],5947.4155031375,5884.4151,873.2087428606001,859.3698161999995,4620.288259999999,7462.103324999999,1.0007720304568886,25072.362305492217,11947.192088063995
sigma_proc[1],0.229498821809125,0.227089065,0.043811307729592,0.042638145291000025,0.161379207,0.30465144,1.000601508211961,4669.3639447286005,7487.596955985746
sigma_proc[2],0.167538805254,0.165165785,0.03883668088752611,0.03875684675099999,0.1083091555,0.2341391745,1.0028142602345294,3352.7196033192727,5996.749381098745
sigma_proc[3],1.22058888003875,1.19948155,0.21843018056408633,0.21191105732999996,0.9055441765,1.61198812,1.0017352309980454,5829.366463862598,9755.680570705197
sigma_obs[1],0.112072444608425,0.11210726500000001,0.03961960864913007,0.0394018748613,0.0463436911,0.17778006849999997,1.0055417858922697,1369.817124072538,943.6119801951174
sigma_obs[2],0.128809195380875,0.12974132,0.0388596013226954,0.038162702214,0.062245937550000005,0.19103182999999999,1.0051960148734667,2072.877564225974,1643.256922389593
sigma_obs[3],0.3099268360083812,0.30948072000000004,0.0985279224733785,0.09760037342999993,0.150957595,0.47228266049999984,1.008906179223502,1516.8936527810233,935.7844471666717
rho_sst[1],-1.0553943289373124,-1.04186445,0.4264549057718467,0.41364569652000005,-1.78563792,-0.38246628100000024,1.0001790377396889,12706.620576333895,10880.904216670655
rho_sst[2],-2.748005189385625,-2.758168,0.44123394882320394,0.4345386439800001,-3.46486432,-2.015906365,1.0004199173433126,8311.768790771603,10147.232340754128
rho_sst[3],0.41662758681787987,0.42058375000000003,1.013440882436191,1.021493549496,-1.25201151,2.090169704999999,1.0004316735512664,13626.502669879515,12531.476419762523
rho_chl[1],-3.642245286936875,-3.6463898500000003,0.8324099835510081,0.8263792233899999,-5.005787185,-2.25239468,0.9999158421718314,15236.198166636465,12137.659373734024
rho_chl[2],2.170740358767436,2.17759595,0.7366052543971704,0.7334813606400001,0.9555829190000001,3.371647424999999,1.0002029733830087,14318.951633469234,12012.111137636366
rho_chl[3],-0.06462781739949656,-0.06755263950000001,1.0070284803270526,1.0068559723887,-1.7244785050000002,1.6034217699999993,1.0014083903837325,21348.169424054657,10632.827137245291
"Omega[1,1]",1,1,0,0,1,1,NA,NA,NA
"Omega[2,1]",-0.00677944964798025,-0.0083463598,0.2222815064942087,0.22816274001948003,-0.3714360455,0.35541167699999987,1.000971283130762,8199.747229918563,9887.51597866197
"Omega[3,1]",0.2725312524456155,0.27738288499999997,0.18099927099430774,0.18305416088399998,-0.036841417849999995,0.5576077705,1.0001610742307143,10299.34504045515,12253.59436068387
"Omega[1,2]",-0.00677944964798025,-0.0083463598,0.2222815064942087,0.22816274001948003,-0.3714360455,0.35541167699999987,1.000971283130762,8199.747229918563,9887.51597866197
"Omega[2,2]",1,1,0,0,1,1,NA,NA,NA
"Omega[3,2]",-0.19619377910520414,-0.20471677,0.23524173420222627,0.24479089547219995,-0.5699906565,0.202279573,1.000495266624807,5731.956598262944,8544.245152572525
"Omega[1,3]",0.2725312524456155,0.27738288499999997,0.18099927099430774,0.18305416088399998,-0.036841417849999995,0.5576077705,1.0001610742307143,10299.34504045515,12253.59436068387
"Omega[2,3]",-0.19619377910520414,-0.20471677,0.23524173420222627,0.24479089547219995,-0.5699906565,0.202279573,1.000495266624807,5731.956598262944,8544.245152572525
"Omega[3,3]",1,1,0,0,1,1,NA,NA,NA
