year,zone,species_raw,mp_total_t,stock_id
2012,CENTRO_SUR,ANCHOVETA,72514.0,anchoveta_cs
2012,CENTRO_SUR,JUREL,178563.0,jurel
2012,CENTRO_SUR,SARDINA COMUN,848316.0,sardina_comun_cs
2012,CENTRO_SUR,SARDINA ESPAÑOLA,13.0,sardina_espanola_norte
2012,NORTE,ANCHOVETA,830613.0,anchoveta_norte
2012,NORTE,JUREL,46854.0,jurel
2012,NORTE,SARDINA ESPAÑOLA,191.0,sardina_espanola_norte
2013,CENTRO_SUR,ANCHOVETA,42173.708,anchoveta_cs
2013,CENTRO_SUR,JUREL,180616.517,jurel
2013,CENTRO_SUR,SARDINA COMUN,233663.751,sardina_comun_cs
2013,NORTE,ANCHOVETA,737328.938,anchoveta_norte
2013,NORTE,JUREL,45740.214,jurel
2013,NORTE,SARDINA ESPAÑOLA,41.46,sardina_espanola_norte
2014,CENTRO_SUR,ANCHOVETA,59117.665632000004,anchoveta_cs
2014,CENTRO_SUR,JUREL,243712.777,jurel
2014,CENTRO_SUR,SARDINA COMUN,540300.430232,sardina_comun_cs
2014,CENTRO_SUR,SARDINA ESPAÑOLA,7.1,sardina_espanola_norte
2014,NORTE,ANCHOVETA,741608.399,anchoveta_norte
2014,NORTE,JUREL,25409.624,jurel
2014,NORTE,SARDINA ESPAÑOLA,139.67,sardina_espanola_norte
2015,CENTRO_SUR,ANCHOVETA,62731.311,anchoveta_cs
2015,CENTRO_SUR,JUREL,224649.95282600002,jurel
2015,CENTRO_SUR,SARDINA COMUN,433614.59796399996,sardina_comun_cs
2015,NORTE,ANCHOVETA,471574.82800000004,anchoveta_norte
2015,NORTE,JUREL,58511.944,jurel
2015,NORTE,SARDINA ESPAÑOLA,341.168,sardina_espanola_norte
2016,CENTRO_SUR,ANCHOVETA,73321.0,anchoveta_cs
2016,CENTRO_SUR,JUREL,272768.0,jurel
2016,CENTRO_SUR,SARDINA COMUN,278682.0,sardina_comun_cs
2016,NORTE,ANCHOVETA,254468.0,anchoveta_norte
2016,NORTE,JUREL,42866.0,jurel
2016,NORTE,SARDINA ESPAÑOLA,96.0,sardina_espanola_norte
2017,CENTRO_SUR,ANCHOVETA,56043.0,anchoveta_cs
2017,CENTRO_SUR,JUREL,286496.0,jurel
2017,CENTRO_SUR,SARDINA COMUN,343317.0,sardina_comun_cs
2017,CENTRO_SUR,SARDINA ESPAÑOLA,0.0,sardina_espanola_norte
2017,NORTE,ANCHOVETA,567793.0,anchoveta_norte
2017,NORTE,JUREL,55315.0,jurel
2017,NORTE,SARDINA ESPAÑOLA,452.0,sardina_espanola_norte
2017,OTRA,JUREL,0.014,jurel
2018,CENTRO_SUR,ANCHOVETA,61440.754,anchoveta_cs
2018,CENTRO_SUR,JUREL,402138.816935,jurel
2018,CENTRO_SUR,SARDINA COMUN,344509.922054,sardina_comun_cs
2018,CENTRO_SUR,SARDINA ESPAÑOLA,4.46,sardina_espanola_norte
2018,NORTE,ANCHOVETA,788193.0680000001,anchoveta_norte
2018,NORTE,JUREL,20818.329886,jurel
