anio,nm_recurso,clase_industria_ii,price_mean_clp_per_t,price_med_clp_per_t,price_sd_clp_per_t,n_plants_months
2012,ANCHOVETA,ANIMAL,75387.09677419355,76000.0,12671.582817676539,62
2012,ANCHOVETA,HUMANO,85043.47826086957,80000.0,11776.24056722828,23
2012,ANCHOVETA,MIXTA_AH,76935.48387096774,77000.0,10506.935753336029,31
2012,JUREL,ANIMAL,147285.7142857143,162000.0,66155.66059356848,7
2012,JUREL,HUMANO,172619.04761904763,150000.0,56588.40534109102,21
2012,JUREL,MIXTA_AH,160090.9090909091,150000.0,38725.84291001177,11
2012,SARDINA COMUN,ANIMAL,80753.62318840579,77000.0,29173.11705557495,69
2012,SARDINA COMUN,HUMANO,81600.0,82000.0,11107.554986484549,10
2012,SARDINA COMUN,MIXTA_AH,81619.04761904762,85000.0,9173.20113415262,21
2012,SARDINA ESPAÑOLA,ANIMAL,59000.0,59000.0,,1
2012,SARDINA ESPAÑOLA,HUMANO,126250.0,130000.0,12990.38105676658,12
2013,ANCHOVETA,ANIMAL,300914.5625,94570.5,532868.134468311,32
2013,ANCHOVETA,HUMANO,368277.8461538461,100221.0,519354.2834000451,13
2013,ANCHOVETA,MIXTA_AH,94120.07692307692,94114.5,13072.964104358509,26
2013,JUREL,ANIMAL,117745.2,117180.0,1125.159188737309,5
2013,JUREL,HUMANO,180363.5,150000.0,58006.73334134006,16
2013,JUREL,MIXTA_AH,189569.14285714287,150000.0,137669.7133086148,7
2013,SARDINA COMUN,ANIMAL,104779.125,91000.0,31301.51363725616,16
2013,SARDINA COMUN,HUMANO,96728.33333333333,92055.0,14325.477758176165,9
2013,SARDINA COMUN,MIXTA_AH,178340.58333333334,100000.0,132922.7823276803,24
2013,SARDINA ESPAÑOLA,HUMANO,130000.0,130000.0,0.0,6
2014,ANCHOVETA,ANIMAL,149541.7,91713.0,238154.4732705413,30
2014,ANCHOVETA,MIXTA_AH,98283.05,98120.0,12463.70269169006,20
2014,JUREL,HUMANO,217693.57142857142,181715.0,83925.64520228039,7
2014,JUREL,MIXTA_AH,168689.09523809524,156500.0,48308.76680469578,21
2014,SARDINA COMUN,ANIMAL,96398.675,95466.0,21719.691601186263,40
2014,SARDINA COMUN,HUMANO,130000.0,130000.0,,1
2014,SARDINA COMUN,MIXTA_AH,96368.73333333334,96266.0,12268.452553874387,15
2014,SARDINA ESPAÑOLA,HUMANO,130000.0,130000.0,0.0,4
2015,ANCHOVETA,ANIMAL,328649.4193548387,125257.0,397726.3459146899,31
2015,ANCHOVETA,HUMANO,4577560.0,4577560.0,0.0,2
2015,ANCHOVETA,MIXTA_AH,119446.875,117065.0,12549.609754177334,8
2015,JUREL,ANIMAL,146540.5,148054.5,4706.777443219512,6
2015,JUREL,HUMANO,225149.44444444444,250000.0,39317.788630310555,9
2015,JUREL,MIXTA_AH,168577.15384615384,162380.0,21135.256771747365,13
2015,SARDINA COMUN,ANIMAL,292425.18518518517,128758.0,305168.8581601539,27
2015,SARDINA COMUN,MIXTA_AH,108536.45454545454,100000.0,12003.328624707696,11
2015,SARDINA ESPAÑOLA,HUMANO,130000.0,130000.0,0.0,4
2016,ANCHOVETA,ANIMAL,369182.0,126986.0,431723.6544571675,28
2016,ANCHOVETA,HUMANO,3900000.0,3900000.0,0.0,3
2016,ANCHOVETA,MIXTA_AH,117546.0,116165.0,12338.758446456432,10
2016,JUREL,ANIMAL,240576.27272727274,150075.0,313138.00822132436,11
2016,JUREL,HUMANO,584712.4,500000.0,211948.83195903676,5
2016,JUREL,MIXTA_AH,189538.57142857142,200000.0,15426.25676572894,14
2016,SARDINA COMUN,ANIMAL,308312.1875,115037.0,427600.5445272833,16
2016,SARDINA COMUN,MIXTA_AH,121744.5,120000.0,3898.8932275711254,16
2016,SARDINA ESPAÑOLA,HUMANO,130000.0,130000.0,0.0,4
2017,ANCHOVETA,ANIMAL,184867.4,103255.0,278543.88498448493,25
2017,ANCHOVETA,HUMANO,3900000.0,3900000.0,0.0,3
2017,ANCHOVETA,MIXTA_AH,89200.0,89000.0,1303.8404810405298,5
2017,JUREL,ANIMAL,154934.0,128788.0,50948.76560166431,7
2017,JUREL,HUMANO,1500000.0,2000000.0,750000.0,9
2017,JUREL,MIXTA_AH,205166.66666666666,240000.0,43398.43594444669,12
2017,SARDINA COMUN,ANIMAL,207154.9655172414,100000.0,231964.2338427387,29
2017,SARDINA COMUN,HUMANO,65450.666666666664,65450.5,9937.758633950953,6
2017,SARDINA COMUN,MIXTA_AH,113654.8125,115000.0,24057.444176300887,16
2017,SARDINA ESPAÑOLA,HUMANO,67877.83333333333,71011.5,11736.153601869171,6
2018,ANCHOVETA,ANIMAL,128577.38461538461,128087.5,30274.38848542036,26
2018,ANCHOVETA,HUMANO,62309.86666666667,56433.0,25022.49273154056,9
2018,ANCHOVETA,MIXTA_AH,99260.14285714286,92310.0,17246.908818960103,7
2018,JUREL,ANIMAL,164026.7,141215.5,43848.973508953306,10
2018,JUREL,HUMANO,350666.6666666667,355000.0,163656.5509433297,6
2018,JUREL,MIXTA_AH,201197.47619047618,220000.0,35661.99381080514,21
2018,SARDINA COMUN,ANIMAL,127310.32,126346.0,31537.333652249905,25
2018,SARDINA COMUN,MIXTA_AH,117218.40909090909,120000.0,10345.210884909338,22
2018,SARDINA ESPAÑOLA,ANIMAL,112856.83333333333,113233.0,4258.526854050199,6
2019,ANCHOVETA,ANIMAL,283478.54347826086,121481.0,459877.3699088682,46
2019,ANCHOVETA,HUMANO,62653.5,61869.600000000006,13437.118430824368,6
2019,JUREL,ANIMAL,179080.18181818182,135465.0,157522.4437915455,22
