anio,nui,rg,sem,trim,mes,cd_recurso,nm_recurso,tipo_mp,precio,clase_industria_ii
2015,90060,15,2,4,11,205,ANCHOVETA,2,4577560.0,HUMANO
2015,90060,15,2,4,12,205,ANCHOVETA,2,4577560.0,HUMANO
2016,90060,15,2,3,7,205,ANCHOVETA,2,3900000.0,HUMANO
2016,90060,15,2,3,9,205,ANCHOVETA,2,3900000.0,HUMANO
2016,90060,15,2,4,12,205,ANCHOVETA,2,3900000.0,HUMANO
2017,90060,15,1,1,3,205,ANCHOVETA,2,3900000.0,HUMANO
2017,90060,15,1,2,4,205,ANCHOVETA,2,3900000.0,HUMANO
2017,90060,15,1,2,6,205,ANCHOVETA,2,3900000.0,HUMANO
2013,4098,13,1,2,6,205,ANCHOVETA,2,2527000.0,ANIMAL
2017,90478,5,1,1,1,234,JUREL,2,2000000.0,HUMANO
2017,90478,5,1,1,2,234,JUREL,2,2000000.0,HUMANO
2017,90478,5,1,1,3,234,JUREL,2,2000000.0,HUMANO
2017,90478,5,1,2,4,234,JUREL,2,2000000.0,HUMANO
2017,90478,5,1,2,5,234,JUREL,2,2000000.0,HUMANO
2017,90478,5,1,2,6,234,JUREL,2,2000000.0,HUMANO
2019,4262,15,2,3,9,205,ANCHOVETA,2,1615853.0,ANIMAL
2019,4262,15,1,2,6,205,ANCHOVETA,2,1596000.0,ANIMAL
2019,4262,15,2,3,8,205,ANCHOVETA,2,1591551.0,ANIMAL
2019,4262,15,1,1,1,205,ANCHOVETA,2,1589000.0,ANIMAL
2019,4262,15,2,3,7,205,ANCHOVETA,2,1527855.0,ANIMAL
2016,4098,13,1,1,1,205,ANCHOVETA,2,1430000.0,ANIMAL
2014,4145,13,2,4,10,205,ANCHOVETA,2,1325000.0,ANIMAL
2013,4145,13,2,3,7,205,ANCHOVETA,2,1279019.0,HUMANO
2013,4145,13,2,4,10,205,ANCHOVETA,2,1279019.0,HUMANO
2013,4145,13,2,4,11,205,ANCHOVETA,2,1279019.0,HUMANO
2013,4098,13,1,1,3,205,ANCHOVETA,2,1199000.0,ANIMAL
2015,4145,13,1,1,2,205,ANCHOVETA,2,1184878.0,ANIMAL
2016,4098,13,1,2,5,234,JUREL,2,1184000.0,ANIMAL
2015,4145,13,1,1,1,205,ANCHOVETA,2,1179729.0,ANIMAL
2016,4098,13,1,2,4,276,SARDINA COMUN,2,1170000.0,ANIMAL
2016,4098,13,1,2,5,276,SARDINA COMUN,2,1170000.0,ANIMAL
2016,4098,13,1,2,6,276,SARDINA COMUN,2,1170000.0,ANIMAL
2013,4098,13,1,2,4,205,ANCHOVETA,2,1133000.0,ANIMAL
2013,4098,13,1,2,5,205,ANCHOVETA,2,1133000.0,ANIMAL
2016,1916,8,1,1,2,205,ANCHOVETA,2,1112446.0,ANIMAL
2016,1916,8,1,1,1,205,ANCHOVETA,2,1111803.0,ANIMAL
2017,4262,15,2,3,9,205,ANCHOVETA,2,1111303.0,ANIMAL
2017,4262,15,2,3,8,205,ANCHOVETA,2,1107798.0,ANIMAL
2015,1916,8,2,4,11,205,ANCHOVETA,1,1094720.0,ANIMAL
