anio,nui,nm_unidad,rg,trim,mes,cd_recurso,nm_recurso,nm_grupo,cd_linea,nm_linea,tipo_mp,mp_sin_elaborar,mp_semi_elaborada,mp_total,produccion,clase_industria
2016,90060,PLANTA,15,2,4,205,ANCHOVETA,PECES,L6,SALADO HUMEDO,2,0.0,0,0.0,18038.0,HUMANO
2024,90073,PLANTA,8,2,4,234,JUREL,PECES,L3,CONGELADO,1,16231.67,0,16231.67,16023.94,HUMANO
2012,18478,PLANTA,1,4,11,205,ANCHOVETA,PECES,L9,HARINA,1,27230.0,0,27230.0,15282.0,ANIMAL
2024,90073,PLANTA,8,1,2,234,JUREL,PECES,L3,CONGELADO,1,15235.99,0,15235.99,15040.44,HUMANO
2024,90073,PLANTA,8,1,3,234,JUREL,PECES,L3,CONGELADO,1,14007.71,0,14007.71,13827.96,HUMANO
2023,90073,PLANTA,8,1,3,234,JUREL,PECES,L3,CONGELADO,1,13754.98,0,13754.98,13583.68,HUMANO
2024,90073,PLANTA,8,1,1,234,JUREL,PECES,L3,CONGELADO,1,13657.7,0,13657.7,13482.4,HUMANO
2024,15219,PLANTA,8,3,8,234,JUREL,PECES,L3,CONGELADO,1,12710.835,0,12710.835,12707.74,HUMANO
2023,90073,PLANTA,8,2,4,234,JUREL,PECES,L3,CONGELADO,1,12737.84,0,12737.84,12574.4,HUMANO
2024,15219,PLANTA,8,1,1,234,JUREL,PECES,L3,CONGELADO,1,12566.42,0,12566.42,12566.42,HUMANO
2024,90073,PLANTA,8,4,12,234,JUREL,PECES,L3,CONGELADO,1,12728.34,0,12728.34,12565.0,HUMANO
2024,90073,PLANTA,8,2,5,234,JUREL,PECES,L3,CONGELADO,1,12434.52,0,12434.52,12274.92,HUMANO
2024,15219,PLANTA,8,4,12,234,JUREL,PECES,L3,CONGELADO,1,12167.474,0,12167.474,12164.24,HUMANO
2023,15219,PLANTA,8,1,3,234,JUREL,PECES,L3,CONGELADO,1,12365.049,0,12365.049,12070.48,HUMANO
2022,90073,PLANTA,8,2,6,234,JUREL,PECES,L3,CONGELADO,1,12094.274,0,12094.274,12066.04,HUMANO
2024,90073,PLANTA,8,3,7,234,JUREL,PECES,L3,CONGELADO,1,11615.01,0,11615.01,11465.94,HUMANO
2023,90073,PLANTA,8,1,2,234,JUREL,PECES,L3,CONGELADO,1,11517.25,0,11517.25,11369.42,HUMANO
