year,species,IND_asignada_kt,IND_cesion_kt,share_IND_ceded,direction,source
2013,anchoveta,25.53,-3.08,0.121,IND_to_ART,industrial_LTP_rebuilt
2013,sardina,128.46,-31.12,0.242,IND_to_ART,industrial_LTP_rebuilt
2014,anchoveta,7.73,-3.91,0.506,IND_to_ART,industrial_LTP_rebuilt
2014,sardina,104.81,-46.60,0.445,IND_to_ART,industrial_LTP_rebuilt
2015,anchoveta,6.27,-2.51,0.400,IND_to_ART,industrial_LTP_rebuilt
2015,sardina,65.21,-21.83,0.335,IND_to_ART,industrial_LTP_rebuilt
2016,anchoveta,7.29,-2.14,0.293,IND_to_ART,industrial_LTP_rebuilt
2016,sardina,59.82,15.65,-0.262,ART_to_IND,industrial_LTP_rebuilt
2017,anchoveta,12.56,-9.03,0.719,IND_to_ART,industrial_LTP_rebuilt
2017,sardina,72.40,-48.89,0.675,IND_to_ART,industrial_LTP_rebuilt
2018,anchoveta,12.80,-10.75,0.840,IND_to_ART,per-titular_online
2018,jurel,326.95,16.06,0.049,ART_to_IND,per-titular_online
2018,sardina,74.24,-63.22,0.852,IND_to_ART,per-titular_online
2019,anchoveta,27.40,-25.80,0.942,IND_to_ART,RESUMEN_online
2019,jurel,339.00,12.00,-0.035,ART_to_IND,RESUMEN_online
2019,sardina,76.00,-69.60,0.916,IND_to_ART,RESUMEN_online
2020,anchoveta,38.60,-33.30,0.863,IND_to_ART,RESUMEN_online
2020,jurel,1268.10,11.80,-0.009,ART_to_IND,RESUMEN_online
2020,sardina,67.20,-60.90,0.906,IND_to_ART,RESUMEN_online
2021,anchoveta,45.30,-45.10,0.996,IND_to_ART,RESUMEN_online
2021,jurel,448.70,13.30,-0.030,ART_to_IND,RESUMEN_online
2021,sardina,76.90,-76.50,0.995,IND_to_ART,RESUMEN_online
2022,anchoveta,52.20,-50.50,0.967,IND_to_ART,RESUMEN_online
2022,jurel,516.40,15.20,-0.029,ART_to_IND,RESUMEN_online
2022,sardina,77.70,-71.60,0.921,IND_to_ART,RESUMEN_online
2023,anchoveta,39.90,-37.10,0.930,IND_to_ART,RESUMEN_online
2023,jurel,637.00,-0.70,0.001,IND_to_ART,RESUMEN_online
2023,sardina,63.30,-61.70,0.975,IND_to_ART,RESUMEN_online
2024,anchoveta,53.80,-45.50,0.846,IND_to_ART,RESUMEN_online
2024,jurel,728.60,-31.50,0.043,IND_to_ART,RESUMEN_online
2024,sardina,53.90,-51.00,0.946,IND_to_ART,RESUMEN_online
