year,species,zone,IND_asignada_t,IND_cesion_t,share,share_pct
2013,anchoveta,V-X,25527.998,-3083.000,0.120769,12.1
2013,sardina,V-X,128462.000,-31116.990,0.242227,24.2
2013,jurel,V-IX,121428.176,11816.078,0.097310,9.7
2013,jurel,XIV-X,16994.600,-11314.355,0.665650,66.6
2014,anchoveta,V-X,7727.001,-3909.167,0.505910,50.6
2014,sardina,V-X,104811.000,-46600.667,0.444616,44.5
2014,jurel,V-IX,174202.043,31218.142,0.179206,17.9
2014,jurel,XIV-X,24422.000,-3963.832,0.162355,16.2
2015,anchoveta,V-X,6272.999,-2509.409,0.400033,40.0
2015,sardina,V-X,65213.000,-21833.554,0.334804,33.5
2015,jurel,V-IX,178095.000,-18812.800,0.105634,10.6
2015,jurel,XIV-X,24968.000,1569.800,0.062874,6.3
2016,anchoveta,V-X,7287.998,-2138.124,0.293376,29.3
2016,sardina,V-X,59819.016,15645.432,0.261546,26.2
2016,jurel,V-IX,178178.000,14063.400,0.078929,7.9
2016,jurel,XIV-X,24813.000,-2334.300,0.094074,9.4
2017,anchoveta,V-X,12557.999,-9034.178,0.719396,71.9
2017,sardina,V-X,72401.522,-48885.205,0.675196,67.5
2017,jurel,V-IX,200384.844,7279.214,0.036327,3.6
2017,jurel,XIV-X,27904.998,2406.204,0.086228,8.6
