year,species,zone,IND_asignada_t,IND_cesion_t,share,share_pct
2015,anchoveta,V-X,6272.999,-2509.409,0.400033,40.0
2015,sardina,V-X,65213.000,-21833.554,0.334804,33.5
2015,jurel,V-IX,178095.000,-18812.762,0.105633,10.6
2015,jurel,XIV-X,24967.997,1569.772,0.062871,6.3
2016,anchoveta,V-X,7287.998,-2138.124,0.293376,29.3
2016,sardina,V-X,59819.016,15645.432,0.261546,26.2
2016,jurel,V-IX,178178.003,14063.417,0.078929,7.9
2016,jurel,XIV-X,24812.997,-2334.346,0.094078,9.4
2017,anchoveta,V-X,12557.999,-9034.178,0.719396,71.9
2017,sardina,V-X,72401.522,-48885.205,0.675196,67.5
2017,jurel,V-IX,200384.844,7279.214,0.036326,3.6
2017,jurel,XIV-X,27904.998,2406.204,0.086228,8.6
