year,species,ART_asignada_kt,ART_movimientos_kt,IND_asignada_kt,IND_movimientos_kt,net_IND_to_ART_kt,share_of_IND_quota_ceded,direction
2019,anchoveta,96.9,25.8,27.4,-25.8,25.8,0.941,IND_to_ART
2020,anchoveta,136.6,33.3,38.6,-33.3,33.3,0.865,IND_to_ART
2021,anchoveta,160.4,47.2,45.3,-45.1,45.1,0.995,IND_to_ART
2022,anchoveta,9.8,343.8,52.2,-50.5,50.5,0.968,IND_to_ART
2023,anchoveta,38.3,-14.2,39.9,-37.1,37.1,0.932,IND_to_ART
2024,anchoveta,191.6,-20.8,53.8,-45.5,45.5,0.845,IND_to_ART
2019,sardina,269.4,71.2,76.0,-69.6,69.6,0.915,IND_to_ART
2020,sardina,245.3,64.1,67.2,-60.9,60.9,0.906,IND_to_ART
2021,sardina,272.5,78.0,76.9,-76.5,76.5,0.995,IND_to_ART
2022,sardina,16.4,516.6,77.7,-71.6,71.6,0.922,IND_to_ART
2023,sardina,50.5,-14.5,63.3,-61.7,61.7,0.974,IND_to_ART
2024,sardina,191.0,-20.9,53.9,-51.0,51.0,0.946,IND_to_ART
2019,jurel,34.6,-9.7,339.0,12.0,-12.0,-0.035,ART_to_IND
2020,jurel,39.8,-7.9,1268.1,11.8,-11.8,-0.009,ART_to_IND
2021,jurel,45.4,-8.9,448.7,13.3,-13.3,-0.030,ART_to_IND
2022,jurel,52.2,-10.8,516.4,15.2,-15.2,-0.029,ART_to_IND
2023,jurel,51.0,-4.8,637.0,-0.7,0.7,0.001,IND_to_ART
2024,jurel,73.8,-14.2,728.6,-31.5,31.5,0.043,IND_to_ART
