year,species,sector,asignada_t,movimientos_t,efectiva_t,captura_t
2019,anchoveta,ART,96925.9,25755.2,122681.1,120054.7
2019,anchoveta,IND,27381.0,-25755.2,1625.8,3543.1
2019,sardina,ART,269390.0,71192.5,340582.5,240321.5
2019,sardina,IND,76024.3,-69573.0,6451.3,3543.1
2020,anchoveta,ART,136577.0,33349.6,169926.7,164450.0
2020,anchoveta,IND,38564.0,-33349.6,5214.4,1794.4
2020,sardina,ART,245317.0,64078.4,309395.4,253425.8
2020,sardina,IND,67202.0,-60879.9,6322.1,7537.0
2021,anchoveta,ART,160384.0,47161.8,207545.8,157814.8
2021,anchoveta,IND,45279.0,-45059.8,219.2,0.0
2021,jurel,ART,50475.0,-13262.2,37192.8,32318.4
2021,jurel,IND,448687.0,13262.3,461949.4,459753.8
2021,sardina,ART,272502.0,78021.7,350523.7,299449.4
2021,sardina,IND,76936.0,-76528.9,407.1,0.0
2022,anchoveta,ART,73013.2,406959.7,157923.9,496966.6
2022,anchoveta,IND,52192.0,-50544.6,1647.4,934.0
2022,jurel,ART,57990.0,-15166.8,42822.1,40907.8
2022,jurel,IND,516415.0,15167.3,531582.4,528041.3
2022,sardina,ART,120113.5,620267.6,221168.1,748105.0
2022,sardina,IND,77680.0,-71604.7,6075.3,5445.6
2023,anchoveta,ART,91866.0,39402.9,182969.7,49921.4
2023,anchoveta,IND,39858.0,-37147.7,2710.4,1567.9
2023,jurel,ART,58169.9,7938.7,71369.2,70135.4
2023,jurel,IND,637036.0,-669.5,636366.6,635892.3
2023,sardina,ART,133149.7,68146.9,288191.3,82692.2
2023,sardina,IND,63322.0,-61655.7,1666.3,961.2
2024,anchoveta,ART,257898.2,45498.2,197748.4,90755.6
2024,anchoveta,IND,53825.5,-45498.2,8327.4,2059.0
2024,jurel,ART,82002.0,31210.7,113192.7,115372.7
2024,jurel,IND,728566.6,-31497.7,697068.9,695062.7
2024,sardina,ART,264047.7,52121.8,208537.7,89081.2
2024,sardina,IND,53941.0,-51042.2,2898.8,2552.6
