zone,species,armador,nave,coef
XV-II,ANCHOVETA,ARICA SEAFOOD PRODUCER S.A.,BEC118307,0.0026758
XV-II,SARDINA,ARICA SEAFOOD PRODUCER S.A.,BEC118307,0.0013973
XV-II,JUREL,ARICA SEAFOOD PRODUCER S.A.,BEC118307,0.001914
XV-II,ANCHOVETA,ARICA SEAFOOD PRODUCER S.A.,BEC075308,0.0027504
XV-II,SARDINA,ARICA SEAFOOD PRODUCER S.A.,BEC075308,0.0015661
XV-II,JUREL,ARICA SEAFOOD PRODUCER S.A.,BEC075308,0.0017363
XV-II,ANCHOVETA,ARICA SEAFOOD PRODUCER S.A.,BEC036109,0.0016875
XV-II,SARDINA,ARICA SEAFOOD PRODUCER S.A.,BEC036109,0.0003233
XV-II,JUREL,ARICA SEAFOOD PRODUCER S.A.,BEC036109,0.0004749
XV-II,ANCHOVETA,CAMANCHACA S.A. CIA. PESQ.,COLLEN,0.0079177
XV-II,SARDINA,CAMANCHACA S.A. CIA. PESQ.,COLLEN,0.0142353
XV-II,JUREL,CAMANCHACA S.A. CIA. PESQ.,COLLEN,0.0075958
XV-II,ANCHOVETA,CAMANCHACA S.A. CIA. PESQ.,COSTA GRANDE 1,0.0059135
XV-II,SARDINA,CAMANCHACA S.A. CIA. PESQ.,COSTA GRANDE 1,0.0047837
XV-II,JUREL,CAMANCHACA S.A. CIA. PESQ.,COSTA GRANDE 1,0.0048325
XV-II,ANCHOVETA,CAMANCHACA S.A. CIA. PESQ.,COSTA GRANDE 2,0.0068433
XV-II,SARDINA,CAMANCHACA S.A. CIA. PESQ.,COSTA GRANDE 2,0.0061489
XV-II,JUREL,CAMANCHACA S.A. CIA. PESQ.,COSTA GRANDE 2,0.0053068
XV-II,ANCHOVETA,CAMANCHACA S.A. CIA. PESQ.,COSTA GRANDE 3,0.0060153
XV-II,SARDINA,CAMANCHACA S.A. CIA. PESQ.,COSTA GRANDE 3,0.0045042
XV-II,JUREL,CAMANCHACA S.A. CIA. PESQ.,COSTA GRANDE 3,0.0044745
XV-II,ANCHOVETA,CAMANCHACA S.A. CIA. PESQ.,COSTA GRANDE 4,0.0051303
XV-II,SARDINA,CAMANCHACA S.A. CIA. PESQ.,COSTA GRANDE 4,0.0045226
XV-II,JUREL,CAMANCHACA S.A. CIA. PESQ.,COSTA GRANDE 4,0.0036045
XV-II,ANCHOVETA,CAMANCHACA S.A. CIA. PESQ.,ESTURION,0.0096555
XV-II,SARDINA,CAMANCHACA S.A. CIA. PESQ.,ESTURION,0.0112834
XV-II,JUREL,CAMANCHACA S.A. CIA. PESQ.,ESTURION,0.0070777
XV-II,ANCHOVETA,CAMANCHACA S.A. CIA. PESQ.,LICANTEN,0.0120665
XV-II,SARDINA,CAMANCHACA S.A. CIA. PESQ.,LICANTEN,0.0137055
XV-II,JUREL,CAMANCHACA S.A. CIA. PESQ.,LICANTEN,0.0101842
XV-II,ANCHOVETA,CAMANCHACA S.A. CIA. PESQ.,LOA 1,0.0045778
XV-II,SARDINA,CAMANCHACA S.A. CIA. PESQ.,LOA 1,0.0064599
XV-II,JUREL,CAMANCHACA S.A. CIA. PESQ.,LOA 1,0.0053386
