bucket,NOMBRE_ESPECIE,n_lances,bucket_total,share
BM,SARDINA COMUN,3608,5423,0.665314401622718
BM,BACALADILLO;MOTE,944,5423,0.17407339111193065
BM,ANCHOVETA,622,5423,0.11469666236400516
BM,CAGAVINO;PAMPANITO;PAMPANITO RAYADO,96,5423,0.01770237875714549
BM,MACHETE;MACHUELO;TRITRE,55,5423,0.010141987829614604
BM,JIBIA,42,5423,0.007744790706251153
IND,JUREL,30134,71072,0.4239925709140027
IND,CABALLA,19620,71072,0.2760580819450698
IND,SARDINA COMUN,9151,71072,0.128756753714543
IND,ANCHOVETA,7461,71072,0.10497805042773525
IND,JIBIA,1728,71072,0.024313372354795137
IND,BACALADILLO;MOTE,1077,71072,0.01515364700585322
LM,SARDINA COMUN,124090,279307,0.4442781598742602
LM,ANCHOVETA,87702,279307,0.3139985750446641
LM,BACALADILLO;MOTE,23588,279307,0.08445187553480579
LM,JIBIA,23191,279307,0.08303050048870955
LM,COCHINILLA,5281,279307,0.01890751037388966
LM,CAGAVINO;PAMPANITO;PAMPANITO RAYADO,4475,279307,0.016021796804233334
UNK_ART,SARDINA COMUN,46121,91065,0.5064624169549223
UNK_ART,ANCHOVETA,31259,91065,0.3432603085708011
UNK_ART,BACALADILLO;MOTE,8115,91065,0.08911217262394992
UNK_ART,CAGAVINO;PAMPANITO;PAMPANITO RAYADO,2857,91065,0.03137319497062538
UNK_ART,JUREL,1049,91065,0.011519244495689892
UNK_ART,MACHETE;MACHUELO;TRITRE,974,91065,0.010695656948333607
