"Stock","Scenario","n_models","DSST (C)","DlogCHL","r_eff (cross median)","%Delta cross median","%Delta cross IQR","%Delta within posterior CI","Pr(Delta<0) cross median"
"Anchoveta CS","SSP2-4.5, 2041-2060",5,"+0.58","+0.022","0.281","-50.7%","[-52.7%, -47.8%]","[-68.0%, -27.0%]","1.00"
"Anchoveta CS","SSP2-4.5, 2081-2100",5,"+1.31","+0.000","0.164","-71.0%","[-76.3%, -60.4%]","[-91.1%, -31.0%]","1.00"
"Anchoveta CS","SSP5-8.5, 2041-2060",6,"+0.92","+0.007","0.214","-62.4%","[-68.0%, -55.9%]","[-80.9%, -31.2%]","1.00"
"Anchoveta CS","SSP5-8.5, 2081-2100",6,"+2.39","-0.013","0.059","-89.6%","[-91.5%, -87.4%]","[-98.3%, -54.2%]","0.99"
"Sardine CS","SSP2-4.5, 2041-2060",5,"+0.58","+0.022","0.159","-78.6%","[-93.2%, -72.5%]","[-85.7%, -67.3%]","1.00"
"Sardine CS","SSP2-4.5, 2081-2100",5,"+1.31","+0.000","0.021","-97.2%","[-98.9%, -89.8%]","[-98.9%, -92.6%]","1.00"
"Sardine CS","SSP5-8.5, 2041-2060",6,"+0.92","+0.007","0.066","-91.1%","[-96.7%, -78.5%]","[-95.1%, -83.2%]","1.00"
"Sardine CS","SSP5-8.5, 2081-2100",6,"+2.39","-0.013","0.001","-99.9%","[-100.0%, -99.4%]","[-100.0%, -99.3%]","1.00"
"Jack mackerel CS","SSP2-4.5, 2041-2060",5,"+0.58","+0.022","n.i.","n.i.","n.i.","n.i.","n.i."
"Jack mackerel CS","SSP2-4.5, 2081-2100",5,"+1.31","+0.000","n.i.","n.i.","n.i.","n.i.","n.i."
"Jack mackerel CS","SSP5-8.5, 2041-2060",6,"+0.92","+0.007","n.i.","n.i.","n.i.","n.i.","n.i."
"Jack mackerel CS","SSP5-8.5, 2081-2100",6,"+2.39","-0.013","n.i.","n.i.","n.i.","n.i.","n.i."
