"stock_id","model","scenario","window","DSST","DlogCHL","r_eff_med","pct_med","pct_q05","pct_q95","prob_decline"
"anchoveta_cs","CESM2","ssp585","end",3.687,0,0.0122,-0.9785,-0.9986,-0.7559,0.995
"anchoveta_cs","CESM2","ssp585","mid",1.278,0,0.1506,-0.736,-0.898,-0.3867,0.995
"anchoveta_cs","CNRM-ESM2-1","ssp245","end",1.313,0,0.1451,-0.7453,-0.9041,-0.3947,0.995
"anchoveta_cs","CNRM-ESM2-1","ssp245","mid",0.581,0,0.3102,-0.454,-0.6455,-0.1992,0.995
"anchoveta_cs","CNRM-ESM2-1","ssp585","end",2.339,0,0.0499,-0.9126,-0.9847,-0.5913,0.995
"anchoveta_cs","CNRM-ESM2-1","ssp585","mid",0.775,0,0.2537,-0.5542,-0.7496,-0.2566,0.995
"anchoveta_cs","GFDL-ESM4","ssp245","end",0.746,0,0.2615,-0.5405,-0.7362,-0.2483,0.995
"anchoveta_cs","GFDL-ESM4","ssp245","mid",0.298,0,0.4154,-0.2666,-0.4122,-0.1076,0.995
"anchoveta_cs","GFDL-ESM4","ssp585","end",1.641,0,0.1033,-0.8191,-0.9466,-0.4662,0.995
"anchoveta_cs","GFDL-ESM4","ssp585","mid",0.47,0,0.348,-0.3869,-0.5677,-0.1644,0.995
"anchoveta_cs","IPSL-CM6A-LR","ssp245","end",1.563,-0.1062,0.1642,-0.7102,-0.9107,-0.1883,0.975
"anchoveta_cs","IPSL-CM6A-LR","ssp245","mid",0.927,-0.0592,0.2683,-0.5274,-0.7645,-0.1279,0.978
"anchoveta_cs","IPSL-CM6A-LR","ssp585","end",2.437,-0.0941,0.0633,-0.8885,-0.982,-0.4444,0.987
"anchoveta_cs","IPSL-CM6A-LR","ssp585","mid",1.066,-0.0305,0.2094,-0.632,-0.8341,-0.2572,0.99
"anchoveta_cs","MPI-ESM1-2-HR","ssp245","end",0.839,0,0.2375,-0.5829,-0.7766,-0.2746,0.995
"anchoveta_cs","MPI-ESM1-2-HR","ssp245","mid",0.496,0,0.3385,-0.4039,-0.5879,-0.1729,0.995
"anchoveta_cs","MPI-ESM1-2-HR","ssp585","end",1.789,0,0.0886,-0.845,-0.959,-0.4956,0.995
"anchoveta_cs","MPI-ESM1-2-HR","ssp585","mid",0.555,0,0.3187,-0.4388,-0.6285,-0.1911,0.995
"anchoveta_cs","UKESM1-0-LL","ssp245","end",2.02,0,0.0696,-0.8781,-0.9729,-0.5382,0.995
"anchoveta_cs","UKESM1-0-LL","ssp245","mid",1.009,0,0.1992,-0.6505,-0.835,-0.3202,0.995
"anchoveta_cs","UKESM1-0-LL","ssp585","end",3.577,0,0.0137,-0.9759,-0.9983,-0.7454,0.995
"anchoveta_cs","UKESM1-0-LL","ssp585","mid",1.333,0,0.142,-0.7506,-0.9075,-0.3994,0.995
"jurel_cs","CESM2","ssp585","end",3.687,0,1.7989,3.7147,-0.9901,2221.536,0.34
"jurel_cs","CESM2","ssp585","mid",1.278,0,0.6498,0.712,-0.7982,13.4685,0.34
"jurel_cs","CNRM-ESM2-1","ssp245","end",1.313,0,0.6587,0.737,-0.8067,14.549,0.34
"jurel_cs","CNRM-ESM2-1","ssp245","mid",0.581,0,0.4807,0.2767,-0.5167,2.3665,0.34
"jurel_cs","CNRM-ESM2-1","ssp585","end",2.339,0,1.0144,1.6749,-0.9465,131.9106,0.34
"jurel_cs","CNRM-ESM2-1","ssp585","mid",0.775,0,0.5253,0.3856,-0.6212,4.057,0.34
"jurel_cs","GFDL-ESM4","ssp245","end",0.746,0,0.5184,0.3687,-0.6072,3.7581,0.34
"jurel_cs","GFDL-ESM4","ssp245","mid",0.298,0,0.426,0.1333,-0.311,0.8625,0.34
"jurel_cs","GFDL-ESM4","ssp585","end",1.641,0,0.7587,0.9943,-0.8719,29.8927,0.34
"jurel_cs","GFDL-ESM4","ssp585","mid",0.47,0,0.4572,0.2184,-0.4445,1.6686,0.34
"jurel_cs","IPSL-CM6A-LR","ssp245","end",1.563,-0.1062,0.737,0.9379,-0.8578,25.4565,0.338
"jurel_cs","IPSL-CM6A-LR","ssp245","mid",0.927,-0.0592,0.56,0.48,-0.6855,5.9854,0.338
"jurel_cs","IPSL-CM6A-LR","ssp585","end",2.437,-0.0941,1.0768,1.7842,-0.9524,163.5622,0.338
"jurel_cs","IPSL-CM6A-LR","ssp585","mid",1.066,-0.0305,0.5927,0.5653,-0.7357,8.3251,0.339
"jurel_cs","MPI-ESM1-2-HR","ssp245","end",0.839,0,0.5389,0.4233,-0.6503,4.7786,0.34
"jurel_cs","MPI-ESM1-2-HR","ssp245","mid",0.496,0,0.4627,0.2322,-0.4629,1.8228,0.34
"jurel_cs","MPI-ESM1-2-HR","ssp585","end",1.789,0,0.8062,1.1226,-0.8936,41.1103,0.34
"jurel_cs","MPI-ESM1-2-HR","ssp585","mid",0.555,0,0.4749,0.2627,-0.5006,2.187,0.34
"jurel_cs","UKESM1-0-LL","ssp245","end",2.02,0,0.8885,1.3385,-0.9203,67.1611,0.34
"jurel_cs","UKESM1-0-LL","ssp245","mid",1.009,0,0.5788,0.5287,-0.7173,7.2416,0.34
"jurel_cs","UKESM1-0-LL","ssp585","end",3.577,0,1.7135,3.5008,-0.9886,1763.5657,0.34
"jurel_cs","UKESM1-0-LL","ssp585","mid",1.333,0,0.6646,0.7519,-0.8116,15.222,0.34
"sardina_comun_cs","CESM2","ssp585","end",3.687,0,0,-1,-1,-0.9994,1
"sardina_comun_cs","CESM2","ssp585","mid",1.278,0,0.022,-0.9706,-0.9881,-0.924,1
"sardina_comun_cs","CNRM-ESM2-1","ssp245","end",1.313,0,0.02,-0.9732,-0.9894,-0.9291,1
