"Fleet","model","Scenario","n_obs","pct_trips_marg_med","pct_trips_marg_q05","pct_trips_marg_q95","pr_portfolio_loss","pct_trips_cond_med","pct_trips_cond_q05","pct_trips_cond_q95","factor_H_med","factor_H_q05","factor_H_q95","pr_decline"
"Artisanal","CESM2","SSP5-8.5, 2041-2060",12544000,-13.55,-60.96,-0.19,0.978,-4.33,-55.14,24.03,0,0,0.2757,0.99
"Artisanal","CESM2","SSP5-8.5, 2081-2100",12544000,-13.55,-60.98,-0.18,0.964,-7.05,-60.16,63.42,0,0,0.3472,0.984
"Artisanal","CNRM-ESM2-1","SSP2-4.5, 2041-2060",12544000,-13.16,-60.41,-0.69,0.958,-3.98,-50.33,7.53,0.0235,0,0.4638,0.993
"Artisanal","CNRM-ESM2-1","SSP2-4.5, 2081-2100",12544000,-14.3,-61.38,-0.93,0.988,-3.26,-52.8,14.38,0,0,0.1359,0.998
"Artisanal","CNRM-ESM2-1","SSP5-8.5, 2041-2060",12544000,-13.88,-61.16,-0.73,0.982,-3.29,-50.88,9,0,0,0.2705,0.997
"Artisanal","CNRM-ESM2-1","SSP5-8.5, 2081-2100",12544000,-15.25,-61.85,-1.7,0.989,-4.5,-55.6,22.83,0,0,0.1108,0.998
"Artisanal","GFDL-ESM4","SSP2-4.5, 2041-2060",12544000,-7.24,-43.97,-0.16,0.421,-5.85,-36.24,0.15,0.5498,0.1161,0.947,0.967
"Artisanal","GFDL-ESM4","SSP2-4.5, 2081-2100",12544000,-12.99,-60.88,-0.37,0.943,-4.48,-54.69,19.91,0.0239,0,0.5328,0.982
"Artisanal","GFDL-ESM4","SSP5-8.5, 2041-2060",12544000,-12.33,-58.08,-0.93,0.89,-5.98,-48.48,4.5,0.1269,0,0.6502,0.987
"Artisanal","GFDL-ESM4","SSP5-8.5, 2081-2100",12544000,-14.9,-61.63,-1.38,0.992,-2.08,-51.78,12.55,0,0,0.1062,0.999
"Artisanal","IPSL-CM6A-LR","SSP2-4.5, 2041-2060",12544000,-13.31,-61.17,-0.51,0.95,-4.76,-55.64,23.71,0.0071,0,0.5024,0.984
"Artisanal","IPSL-CM6A-LR","SSP2-4.5, 2081-2100",12544000,-13.69,-61.17,-0.55,0.968,-4.76,-57.24,32.95,0,0,0.3606,0.99
"Artisanal","IPSL-CM6A-LR","SSP5-8.5, 2041-2060",12544000,-13.72,-61.2,-0.62,0.973,-4.51,-54.96,21.19,0,0,0.3378,0.992
"Artisanal","IPSL-CM6A-LR","SSP5-8.5, 2081-2100",12544000,-14.91,-61.65,-1.38,0.984,-5.87,-57.18,31.86,0,0,0.1345,0.996
"Artisanal","MPI-ESM1-2-HR","SSP2-4.5, 2041-2060",12544000,-12.19,-58.18,-0.65,0.927,-4.6,-45.5,2.92,0.0711,0,0.5671,0.991
"Artisanal","MPI-ESM1-2-HR","SSP2-4.5, 2081-2100",12544000,-14.12,-61.47,-1.04,0.978,-3.92,-53.02,13.17,0,0,0.3073,0.995
"Artisanal","MPI-ESM1-2-HR","SSP5-8.5, 2041-2060",12544000,-13.29,-60.2,-0.95,0.962,-4.09,-45.36,2.06,0.0209,0,0.4563,0.996
"Artisanal","MPI-ESM1-2-HR","SSP5-8.5, 2081-2100",12544000,-15.14,-61.77,-1.58,0.992,-2.39,-51.64,11.53,0,0,0.0821,0.999
"Artisanal","UKESM1-0-LL","SSP2-4.5, 2041-2060",12544000,-13.98,-61.25,-0.74,0.98,-3.93,-53.58,16.54,0,0,0.2718,0.995
"Artisanal","UKESM1-0-LL","SSP2-4.5, 2081-2100",12544000,-14.79,-61.57,-1.19,0.99,-3.44,-53.99,18.96,0,0,0.1108,0.998
"Artisanal","UKESM1-0-LL","SSP5-8.5, 2041-2060",12544000,-14.82,-61.63,-1.32,0.986,-4.1,-54.05,16.94,0,0,0.1554,0.997
"Artisanal","UKESM1-0-LL","SSP5-8.5, 2081-2100",12544000,-15.74,-62.11,-2.16,0.992,-3.18,-54.54,20.1,0,0,0.0761,0.999
"Industrial","CESM2","SSP5-8.5, 2041-2060",640000,-0.59,-21.28,0.55,0.122,-0.49,-10.39,0.2,0.9541,0.2336,1,0.745
"Industrial","CESM2","SSP5-8.5, 2081-2100",640000,-0.58,-21.28,0.55,0.122,-0.49,-10.39,0.55,0.9541,0.2336,1,0.74
"Industrial","CNRM-ESM2-1","SSP2-4.5, 2041-2060",640000,-0.99,-21.44,0.1,0.116,-0.74,-10.56,0.03,0.9541,0.2336,1,0.933
"Industrial","CNRM-ESM2-1","SSP2-4.5, 2081-2100",640000,-0.78,-21.51,0.28,0.124,-0.7,-10.59,0.28,0.9541,0.2336,1,0.93
"Industrial","CNRM-ESM2-1","SSP5-8.5, 2041-2060",640000,-0.76,-21.43,0.34,0.122,-0.68,-10.54,0.03,0.9541,0.2336,1,0.917
"Industrial","CNRM-ESM2-1","SSP5-8.5, 2081-2100",640000,-1.15,-21.8,0.09,0.124,-1,-11.02,0.09,0.9541,0.2336,1,0.928
"Industrial","GFDL-ESM4","SSP2-4.5, 2041-2060",640000,-1.09,-15.73,-0.33,0.038,-1.03,-11.2,-0.33,0.982,0.5619,1,0.972
"Industrial","GFDL-ESM4","SSP2-4.5, 2081-2100",640000,-0.98,-21.36,0.08,0.116,-0.72,-10.6,0.01,0.9541,0.2336,1,0.943
"Industrial","GFDL-ESM4","SSP5-8.5, 2041-2060",640000,-1.42,-21.76,-0.24,0.103,-1.06,-10.95,-0.28,0.9617,0.2647,1,0.966
"Industrial","GFDL-ESM4","SSP5-8.5, 2081-2100",640000,-0.96,-21.67,0.17,0.124,-0.87,-10.8,0.17,0.9541,0.2336,1,0.928
"Industrial","IPSL-CM6A-LR","SSP2-4.5, 2041-2060",640000,-0.98,-21.37,0.07,0.118,-0.71,-10.52,0.07,0.9541,0.2336,1,0.935
"Industrial","IPSL-CM6A-LR","SSP2-4.5, 2081-2100",640000,-0.82,-21.37,0.39,0.122,-0.65,-10.52,0.07,0.9541,0.2336,1,0.917
"Industrial","IPSL-CM6A-LR","SSP5-8.5, 2041-2060",640000,-0.87,-21.39,0.39,0.121,-0.67,-10.52,0.06,0.9541,0.2336,1,0.92
"Industrial","IPSL-CM6A-LR","SSP5-8.5, 2081-2100",640000,-0.97,-21.72,0.17,0.124,-0.91,-10.87,0.17,0.9541,0.2336,1,0.929
"Industrial","MPI-ESM1-2-HR","SSP2-4.5, 2041-2060",640000,-0.83,-20.49,0.13,0.108,-0.7,-10.53,0.04,0.9589,0.2601,1,0.932
"Industrial","MPI-ESM1-2-HR","SSP2-4.5, 2081-2100",640000,-0.95,-21.56,0.25,0.121,-0.83,-10.67,-0.09,0.9541,0.2336,1,0.94
"Industrial","MPI-ESM1-2-HR","SSP5-8.5, 2041-2060",640000,-0.83,-19.64,0.27,0.115,-0.76,-10.59,0.01,0.9544,0.2336,1,0.939
"Industrial","MPI-ESM1-2-HR","SSP5-8.5, 2081-2100",640000,-1.12,-21.78,0.09,0.124,-1,-10.95,0.09,0.9541,0.2336,1,0.927
"Industrial","UKESM1-0-LL","SSP2-4.5, 2041-2060",640000,-0.77,-21.44,0.33,0.122,-0.7,-10.57,0.03,0.9541,0.2336,1,0.916
"Industrial","UKESM1-0-LL","SSP2-4.5, 2081-2100",640000,-0.86,-21.59,0.24,0.124,-0.78,-10.73,0.24,0.9541,0.2336,1,0.928
"Industrial","UKESM1-0-LL","SSP5-8.5, 2041-2060",640000,-0.94,-21.67,0.17,0.123,-0.89,-10.78,0.17,0.9541,0.2336,1,0.932
"Industrial","UKESM1-0-LL","SSP5-8.5, 2081-2100",640000,-1.4,-21.91,-0.17,0.125,-1.21,-11.3,-0.17,0.9541,0.2336,1,0.951
