"TIPO_EMB","Scenario","n_models","%Delta trips marg cross med","%Delta trips marg cross IQR","Pr loss cross med","%Delta trips cond cross med","factor_H cross med"
"BM","SSP2-4.5, 2041-2060",5,"-8.9%","[-9.3%, -8.7%]","0.99","-3.1%","0.000"
"BM","SSP2-4.5, 2081-2100",5,"-9.6%","[-9.7%, -9.3%]","1.00","-2.2%","0.000"
"BM","SSP5-8.5, 2041-2060",6,"-9.2%","[-9.3%, -9.2%]","1.00","-3.0%","0.000"
"BM","SSP5-8.5, 2081-2100",6,"-10.0%","[-10.2%, -9.8%]","1.00","-5.6%","0.000"
"LM","SSP2-4.5, 2041-2060",5,"-18.7%","[-19.0%, -17.7%]","0.96","-13.1%","0.029"
"LM","SSP2-4.5, 2081-2100",5,"-19.0%","[-19.2%, -18.9%]","0.98","-16.1%","0.000"
"LM","SSP5-8.5, 2041-2060",6,"-18.7%","[-18.9%, -18.5%]","0.98","-15.3%","0.000"
"LM","SSP5-8.5, 2081-2100",6,"-19.6%","[-19.7%, -19.5%]","0.99","-16.0%","0.000"
"UNK","SSP2-4.5, 2041-2060",5,"-10.3%","[-10.4%, -8.9%]","0.91","-3.0%","0.028"
"UNK","SSP2-4.5, 2081-2100",5,"-10.9%","[-11.3%, -10.5%]","0.96","-1.9%","0.000"
"UNK","SSP5-8.5, 2041-2060",6,"-10.5%","[-10.5%, -10.3%]","0.95","-1.9%","0.000"
"UNK","SSP5-8.5, 2081-2100",6,"-11.9%","[-12.0%, -11.8%]","0.98","-2.1%","0.000"
