"TIPO_EMB","scenario","window","n_models","factor_trips_marg_cross_med","factor_trips_marg_cross_q25","factor_trips_marg_cross_q75","factor_trips_marg_within_q05","factor_trips_marg_within_q95","pr_portfolio_loss_cross_med","factor_trips_cond_cross_med","factor_H_cross_med","scenario_key","scenario_label"
"BM","ssp245","mid",5,0.910579481554455,0.907312269247363,0.913105634010385,0.535620013391904,0.985337166614903,0.985899828767123,0.969131723902075,0,"ssp245_mid","SSP2-4.5, 2041-2060"
"BM","ssp245","end",5,0.904313940010435,0.903416374861827,0.907312269247363,0.531004642948467,0.982998143585358,0.997245719178082,0.97772787348913,0,"ssp245_end","SSP2-4.5, 2081-2100"
"BM","ssp585","mid",6,0.907659188908651,0.90656179348727,0.908382806138714,0.533355805713317,0.983332822332842,0.996955479452055,0.969850906264183,0,"ssp585_mid","SSP5-8.5, 2041-2060"
"BM","ssp585","end",6,0.900282905364491,0.898049808882741,0.901623916280561,0.526890706671736,0.982368031741955,0.999000428082192,0.94391081407895,0,"ssp585_end","SSP5-8.5, 2081-2100"
"LM","ssp245","mid",5,0.813226257519548,0.810104376823434,0.823257705970549,0.38046654887701,0.986857469403341,0.955881712962963,0.868762122775723,0.0288687347773617,"ssp245_mid","SSP2-4.5, 2041-2060"
"LM","ssp245","end",5,0.809737719987266,0.807858161565375,0.811296629979439,0.375622012399325,0.984092544111081,0.982095486111111,0.839035330052609,0,"ssp245_end","SSP2-4.5, 2081-2100"
"LM","ssp585","mid",6,0.813314247498478,0.811209118088867,0.815328491420307,0.378129083994488,0.985464732766711,0.979374074074074,0.846704425825763,0,"ssp585_mid","SSP5-8.5, 2041-2060"
"LM","ssp585","end",6,0.804096052563569,0.802760000908626,0.805222479501461,0.374691074803599,0.97779418059884,0.992776736111111,0.839647823159771,0,"ssp585_end","SSP5-8.5, 2081-2100"
"UNK","ssp245","mid",5,0.896613422313056,0.896251961888161,0.910887857125273,0.388873276734031,0.993800858241711,0.910561403508772,0.970221652213869,0.0275866971435387,"ssp245_mid","SSP2-4.5, 2041-2060"
"UNK","ssp245","end",5,0.890718426106722,0.887371485001097,0.894990662281059,0.380532151808073,0.991484801895998,0.957102704678363,0.981325620818026,0,"ssp245_end","SSP2-4.5, 2081-2100"
"UNK","ssp585","mid",6,0.895268619040399,0.894518063228671,0.89705642543825,0.382363594817042,0.992363622358874,0.954211074561403,0.981256782496797,0,"ssp585_mid","SSP5-8.5, 2041-2060"
"UNK","ssp585","end",6,0.881466202968441,0.880395118704133,0.882319109715626,0.377146716079107,0.989037582482196,0.97931980994152,0.978960595932873,0,"ssp585_end","SSP5-8.5, 2081-2100"
