"Stock","model","Scenario","pr_extinct","factor_B_med","factor_B_q05","factor_B_q95","Non-identified"
"Anchoveta CS","CESM2","SSP5-8.5, 2041-2060",0.8308,0,0,1.1548,FALSE
"Anchoveta CS","CESM2","SSP5-8.5, 2081-2100",0.8864,0,0,1.8152,FALSE
"Anchoveta CS","CNRM-ESM2-1","SSP2-4.5, 2041-2060",0.563,0,0,1.2993,FALSE
"Anchoveta CS","CNRM-ESM2-1","SSP2-4.5, 2081-2100",0.9158,0,0,0.5175,FALSE
"Anchoveta CS","CNRM-ESM2-1","SSP5-8.5, 2041-2060",0.7867,0,0,0.9706,FALSE
"Anchoveta CS","CNRM-ESM2-1","SSP5-8.5, 2081-2100",0.9574,0,0,0,FALSE
"Anchoveta CS","GFDL-ESM4","SSP2-4.5, 2041-2060",0.1092,0.8608,0,1.6592,FALSE
"Anchoveta CS","GFDL-ESM4","SSP2-4.5, 2081-2100",0.4852,0.0452,0,1.6531,FALSE
"Anchoveta CS","GFDL-ESM4","SSP5-8.5, 2041-2060",0.3378,0.4006,0,1.5257,FALSE
"Anchoveta CS","GFDL-ESM4","SSP5-8.5, 2081-2100",0.9559,0,0,0,FALSE
"Anchoveta CS","IPSL-CM6A-LR","SSP2-4.5, 2041-2060",0.5858,0,0,1.6701,FALSE
"Anchoveta CS","IPSL-CM6A-LR","SSP2-4.5, 2081-2100",0.8071,0,0,1.5029,FALSE
"Anchoveta CS","IPSL-CM6A-LR","SSP5-8.5, 2041-2060",0.7611,0,0,1.3021,FALSE
"Anchoveta CS","IPSL-CM6A-LR","SSP5-8.5, 2081-2100",0.938,0,0,0.4308,FALSE
"Anchoveta CS","MPI-ESM1-2-HR","SSP2-4.5, 2041-2060",0.4924,0.0186,0,1.3226,FALSE
"Anchoveta CS","MPI-ESM1-2-HR","SSP2-4.5, 2081-2100",0.7509,0,0,1.1285,FALSE
"Anchoveta CS","MPI-ESM1-2-HR","SSP5-8.5, 2041-2060",0.6576,0,0,1.0926,FALSE
"Anchoveta CS","MPI-ESM1-2-HR","SSP5-8.5, 2081-2100",0.9639,0,0,0,FALSE
"Anchoveta CS","UKESM1-0-LL","SSP2-4.5, 2041-2060",0.8063,0,0,1.0766,FALSE
"Anchoveta CS","UKESM1-0-LL","SSP2-4.5, 2081-2100",0.956,0,0,0,FALSE
"Anchoveta CS","UKESM1-0-LL","SSP5-8.5, 2041-2060",0.8991,0,0,0.7002,FALSE
"Anchoveta CS","UKESM1-0-LL","SSP5-8.5, 2081-2100",0.9821,0,0,0,FALSE
"Jack mackerel CS","CESM2","SSP5-8.5, 2041-2060",0,1,1,1,TRUE
"Jack mackerel CS","CESM2","SSP5-8.5, 2081-2100",0,1,1,1,TRUE
"Jack mackerel CS","CNRM-ESM2-1","SSP2-4.5, 2041-2060",0,1,1,1,TRUE
"Jack mackerel CS","CNRM-ESM2-1","SSP2-4.5, 2081-2100",0,1,1,1,TRUE
"Jack mackerel CS","CNRM-ESM2-1","SSP5-8.5, 2041-2060",0,1,1,1,TRUE
"Jack mackerel CS","CNRM-ESM2-1","SSP5-8.5, 2081-2100",0,1,1,1,TRUE
"Jack mackerel CS","GFDL-ESM4","SSP2-4.5, 2041-2060",0,1,1,1,TRUE
"Jack mackerel CS","GFDL-ESM4","SSP2-4.5, 2081-2100",0,1,1,1,TRUE
"Jack mackerel CS","GFDL-ESM4","SSP5-8.5, 2041-2060",0,1,1,1,TRUE
"Jack mackerel CS","GFDL-ESM4","SSP5-8.5, 2081-2100",0,1,1,1,TRUE
"Jack mackerel CS","IPSL-CM6A-LR","SSP2-4.5, 2041-2060",0,1,1,1,TRUE
"Jack mackerel CS","IPSL-CM6A-LR","SSP2-4.5, 2081-2100",0,1,1,1,TRUE
"Jack mackerel CS","IPSL-CM6A-LR","SSP5-8.5, 2041-2060",0,1,1,1,TRUE
"Jack mackerel CS","IPSL-CM6A-LR","SSP5-8.5, 2081-2100",0,1,1,1,TRUE
"Jack mackerel CS","MPI-ESM1-2-HR","SSP2-4.5, 2041-2060",0,1,1,1,TRUE
"Jack mackerel CS","MPI-ESM1-2-HR","SSP2-4.5, 2081-2100",0,1,1,1,TRUE
"Jack mackerel CS","MPI-ESM1-2-HR","SSP5-8.5, 2041-2060",0,1,1,1,TRUE
"Jack mackerel CS","MPI-ESM1-2-HR","SSP5-8.5, 2081-2100",0,1,1,1,TRUE
"Jack mackerel CS","UKESM1-0-LL","SSP2-4.5, 2041-2060",0,1,1,1,TRUE
"Jack mackerel CS","UKESM1-0-LL","SSP2-4.5, 2081-2100",0,1,1,1,TRUE
"Jack mackerel CS","UKESM1-0-LL","SSP5-8.5, 2041-2060",0,1,1,1,TRUE
"Jack mackerel CS","UKESM1-0-LL","SSP5-8.5, 2081-2100",0,1,1,1,TRUE
"Sardine CS","CESM2","SSP5-8.5, 2041-2060",0.9994,0,0,0,FALSE
"Sardine CS","CESM2","SSP5-8.5, 2081-2100",1,0,0,0,FALSE
"Sardine CS","CNRM-ESM2-1","SSP2-4.5, 2041-2060",0.8727,0,0,0.2473,FALSE
"Sardine CS","CNRM-ESM2-1","SSP2-4.5, 2081-2100",0.9994,0,0,0,FALSE
"Sardine CS","CNRM-ESM2-1","SSP5-8.5, 2041-2060",0.9804,0,0,0,FALSE
"Sardine CS","CNRM-ESM2-1","SSP5-8.5, 2081-2100",1,0,0,0,FALSE
"Sardine CS","GFDL-ESM4","SSP2-4.5, 2041-2060",0.0608,0.4734,0,0.8157,FALSE
"Sardine CS","GFDL-ESM4","SSP2-4.5, 2081-2100",0.9878,0,0,0,FALSE
